Make,Model,Body Type,Year,Engine Type,Engine Size,Transmission,Drive Type,Mileage,Condition,Steering Wheel,Cleared Customs,Color,Wheel Size,Headlights,Interior Color,Interior Material,Sunroof,Car Price
Hyundai,Elantra,Sedan,2021,Gasoline,2.0 L,Automatic,Front Wheel Drive,"27,000 km",Car is not damaged,Left,Yes,Black,R16,Хenon Headlights,Gray,Textile,No,"$22,000"
Toyota,Camry,Sedan,2017,Gasoline,2.5 L,Automatic,Front Wheel Drive,"75,000 miles",Car is not damaged,Left,Yes,Gray,R17,LED Headlights,Black,Textile,No,"$17,200"
Toyota,Camry,Sedan,2011,Gasoline,2.5 L,Automatic,Rear Wheel Drive,"164,808 miles",Car is not damaged,Left,Yes,White,R16,Halogen Headlights,Beige,Textile,No,"$11,500"
Chery,Tiggo 7 Pro Max,SUV / Crossover,2023,Gasoline,1.5 L,Automatic,Front Wheel Drive,150 km,Car is not damaged,Left,Yes,Black,R18,LED Headlights,Black,Leather,Panoramic Sunroof,"$35,000"
Tesla,Model 3,Sedan,2019,Electric,,Automatic,Rear Wheel Drive,9000 km,Car is not damaged,Left,Yes,Black,R19,LED Headlights,Black,Leather,Panoramic Sunroof,"$29,000"
Kia,Optima,Sedan,2018,Gasoline,2.4 L,Automatic,Front Wheel Drive,"49,500 miles",Car is not damaged,Left,Yes,Black,R18,LED Headlights,Black,Textile,No,"$18,900"
Kia,Optima,Sedan,2016,Gasoline,2.4 L,Automatic,Front Wheel Drive,"84,000 miles",Car is not damaged,Left,Yes,Black,R17,LED Headlights,Black,Textile,No,"$14,000"
Kia,Forte,Sedan,2018,Gasoline,2.0 L,Automatic,Front Wheel Drive,"41,000 miles",Car is not damaged,Left,Yes,White,R16,LED Headlights,Gray,Textile,No,"$13,300"
Mazda,6,Sedan,2018,Gasoline,2.5 L,Automatic,Front Wheel Drive,"34,000 miles",Car is damaged,Left,Yes,Silver,R19,Хenon Headlights,Black,Leather,Regular Sunroof,"$17,300"
Nissan,Almera,Sedan,2013,Gasoline,1.6 L,Automatic,Front Wheel Drive,"270,000 km",Car is not damaged,Left,Yes,White,R15,Halogen Headlights,Black,Textile,No,"$6,500"
VAZ (Lada),2106,Sedan,1998,Gasoline,1.5 L,Manual,Rear Wheel Drive,"109,000 km",Car is not damaged,Left,Yes,White,R13,Halogen Headlights,Black,Textile,No,"$3,300"
Kia,Optima,Sedan,2019,Gasoline,2.4 L,Automatic,Front Wheel Drive,"43,000 miles",Car is not damaged,Left,Yes,White,R17,LED Headlights,Black,Textile,No,"$17,800"
Kia,Sorento,SUV / Crossover,2003,Gasoline,3.5 L,Automatic,All Wheel Drive,"200,000 miles",Car is not damaged,Left,Yes,Gold,R16,Halogen Headlights,Beige,Textile,No,"$7,200"
Kia,Optima,Sedan,2019,Gasoline,2.4 L,Automatic,Front Wheel Drive,"73,000 km",Car is not damaged,Left,Yes,Black,R18,LED Headlights,Black,Leather,Panoramic Sunroof,"$17,700"
Tesla,Model Y,SUV / Crossover,2023,Electric,,Automatic,All Wheel Drive,6000 miles,Car is not damaged,Left,Yes,White,R20,LED Headlights,White,Alcantara,Panoramic Sunroof,"$63,000"
Fiat,500,Hatchback,2012,Gasoline,1.4 L,Automatic,Front Wheel Drive,"272,500 km",Car is not damaged,Left,Yes,Blue,R15,Halogen Headlights,Gray,Other,No,"$6,500"
Nissan,Sentra,Sedan,2019,Gasoline,1.8 L,Automatic,Front Wheel Drive,"98,000 km",Car is not damaged,Left,Yes,Black,R17,Halogen Headlights,Black,Other,No,"$12,900"
Honda,Pilot,SUV / Crossover,2022,Gasoline,3.5 L,Automatic,All Wheel Drive,"21,000 km",Car is not damaged,Left,Yes,Black,R20,Хenon Headlights,Black,Leather,Regular Sunroof,"$48,000"
