Make,Model,Body Type,Year,Engine Type,Engine Size,Transmission,Drive Type,Mileage,Condition,Steering Wheel,Cleared Customs,Color,Wheel Size,Headlights,Interior Color,Interior Material,Sunroof,Car Price
Opel,Mokka,SUV / Crossover,2015,Gasoline,1.4 L,Automatic,All Wheel Drive,"91,000 km",Car is not damaged,Left,Yes,Silver,R18,Хenon Headlights,Black,Leather,No,"$13,000"
Hozon Auto,Neta U,SUV / Crossover,2021,Electric,,Automatic,Front Wheel Drive,"25,000 km",Car is not damaged,Left,Yes,Gray,R19,LED Headlights,Black,Leather,Panoramic Sunroof,"$32,800"
Toyota,Corolla,Sedan,2017,Gasoline,1.8 L,Automatic,Front Wheel Drive,"80,000 miles",Car is not damaged,Left,Yes,Black,R17,LED Headlights,Red,Leather,No,"$14,700"
Mercedes-Benz,240,Sedan,2001,Gasoline,2.4 L,Automatic,Rear Wheel Drive,"330,000 km",Car is not damaged,Left,No,Black,R16,Хenon Headlights,Beige,Leather,Regular Sunroof,"$4,500"
Mazda,3,Sedan,2018,Gasoline,2.5 L,Automatic,Front Wheel Drive,"120,000 km",Car is not damaged,Left,Yes,Gray,R17,LED Headlights,Black,Leather,No,"$17,500"
Mercedes-Benz,S-Class,Sedan,1999,Gasoline,3.2 L,Automatic,Rear Wheel Drive,"118,000 km",Car is not damaged,Left,Yes,Blue,R19,LED Headlights,Black,Leather,Regular Sunroof,"$8,500"
Mitsubishi,Outlander Sport,SUV / Crossover,2020,Gasoline,2.0 L,Automatic,All Wheel Drive,"44,000 miles",Car is not damaged,Left,Yes,Gray,R18,Хenon Headlights,Black,Textile,No,"$19,900"
Nissan,Rogue,SUV / Crossover,2021,Gasoline,2.5 L,Automatic,Front Wheel Drive,"33,500 km",Car is not damaged,Left,Yes,Black,R17,LED Headlights,Black,Textile,No,"$32,200"
Nissan,March,Hatchback,2003,Gasoline,1.2 L,Automatic,Front Wheel Drive,"300,000 km",Car is not damaged,Right,Yes,Silver,R14,Halogen Headlights,Beige,Other,No,"$3,300"
Toyota,Camry,Sedan,2022,Gasoline,2.5 L,Automatic,Front Wheel Drive,"15,000 km",Car is not damaged,Left,Yes,Blue,R17,LED Headlights,Black,Leather,No,"$36,000"
Audi,Q7,SUV / Crossover,2007,Gasoline,3.6 L,Automatic,All Wheel Drive,"115,000 km",Car is not damaged,Left,Yes,Black,R18,Хenon Headlights,Black,Leather,Panoramic Sunroof,"$15,000"
Mercedes-Benz,E-Class AMG,Sedan,2017,Gasoline,3.0 L,Automatic,Rear Wheel Drive,"90,000 km",Car is not damaged,Left,Yes,White,R19,LED Headlights,Black,Leather,Panoramic Sunroof,"$46,000"
Ford,Fiesta,Hatchback,2001,Gasoline,1.2 L,Manual,Front Wheel Drive,"233,000 km",Car is not damaged,Left,Yes,Maroon,R14,Хenon Headlights,Black,Other,No,"$1,750"
UAZ (УАЗ),452,Van,2010,Gasoline,2.7 L,Manual,All Wheel Drive,"30,000 km",Car is not damaged,Left,Yes,Gray,R15,LED Headlights,Other,Other,No,"1,200,000 ֏"
Opel,Astra,Wagon,2002,Gasoline,1.6 L,Manual,Front Wheel Drive,"195,000 km",Car is not damaged,Left,Yes,Blue,R14,LED Headlights,Gray,Textile,No,"$6,000"
Infiniti,QX4,SUV / Crossover,2002,Gasoline,3.5 L,Automatic,All Wheel Drive,"200,000 km",Car is not damaged,Left,Yes,Brown,R16,Хenon Headlights,Beige,Leather,Regular Sunroof,"$7,200"
Hyundai,Elantra,Sedan,2013,Gasoline,1.8 L,Automatic,Front Wheel Drive,"60,000 miles",Car is not damaged,Left,Yes,Blue,R16,Halogen Headlights,Gray,Other,No,"$9,990"
BMW,3 Series,Coupe,2008,Gasoline,2.5 L,Automatic,All Wheel Drive,"152,000 km",Car is not damaged,Left,Yes,White,R18,Хenon Headlights,Beige,Leather,Regular Sunroof,"$10,600"
Lexus,GX460,SUV / Crossover,2019,Gasoline,4.6 L,Automatic,All Wheel Drive,"82,000 miles",Car is not damaged,Left,Yes,Black,R19,LED Headlights,Black,Leather,Regular Sunroof,"$60,000"
Mercedes-Benz,C-Class,Sedan,1998,Gasoline,1.8 L,Manual,Rear Wheel Drive,"228,000 km",Car is not damaged,Left,Yes,Blue,R16,Halogen Headlights,Black,Textile,No,"$6,250"
Mercedes-Benz,Vito,Minivan,2000,Gasoline,2.3 L,Manual,Front Wheel Drive,"375,000 km",Car is not damaged,Left,Yes,Black,R15,Halogen Headlights,Gray,Leather,No,"$7,800"
Hyundai,Sonata,Sedan,2021,Gasoline,2.5 L,Automatic,Front Wheel Drive,"35,000 miles",Car is not damaged,Left,Yes,Gray,R17,Хenon Headlights,White,Textile,No,"$24,900"
Nissan,Maxima,Sedan,2017,Gasoline,3.5 L,Automatic,Front Wheel Drive,"78,000 km",Car is not damaged,Left,Yes,White,R19,LED Headlights,Black,Alcantara,No,"$16,000"
Audi,Q7,SUV / Crossover,2021,Gasoline,2.0 L,Automatic,All Wheel Drive,"31,000 km",Car is not damaged,Left,Yes,Black,R20,LED Headlights,Black,Leather,Panoramic Sunroof,"$68,000"
Mercedes-Benz,S-Class,Sedan,1968,Gasoline,2.8 L,Automatic,Rear Wheel Drive,"120,000 km",Car is not damaged,Left,Yes,White,R17,Halogen Headlights,Brown,Velour,No,"$35,000"
Hyundai,Sonata,Sedan,2017,Gasoline,2.0 L,Automatic,Front Wheel Drive,"94,000 miles",Car is not damaged,Left,Yes,Gray,R18,Хenon Headlights,Gray,Alcantara,No,"$13,900"
Chevrolet,Cruze,Sedan,2017,Gasoline,1.4 L,Automatic,Front Wheel Drive,"80,000 km",Car is damaged,Left,Yes,Blue,R17,LED Headlights,Black,Textile,No,"$11,600"
BMW,5 Series,Sedan,2018,Gasoline,2.0 L,Automatic,Rear Wheel Drive,"45,000 km",Car is not damaged,Left,Yes,White,R19,LED Headlights,Brown,Leather,Regular Sunroof,"$44,000"
VAZ (Lada),2121 (4x4),SUV / Crossover,2016,Gasoline,1.7 L,Manual,All Wheel Drive,"50,000 km",Car is not damaged,Left,Yes,White,R17,Хenon Headlights,Black,Other,No,"$9,500"
Mazda,3,Sedan,2020,Gasoline,2.5 L,Automatic,Front Wheel Drive,"17,599 miles",Car is damaged,Left,No,White,R18,LED Headlights,Black,Leather,No,"$7,500"
Toyota,Highlander,SUV / Crossover,2017,Gasoline,3.5 L,Automatic,All Wheel Drive,"68,700 miles",Car is not damaged,Left,Yes,White,R18,LED Headlights,Black,Leather,Regular Sunroof,"$36,000"
Kia,Forte,Sedan,2012,Gasoline,2.4 L,Automatic,Front Wheel Drive,"173,000 miles",Car is not damaged,Left,Yes,Black,R15,Хenon Headlights,Black,Leather,Panoramic Sunroof,"$8,100"
Nissan,X-Trail,SUV / Crossover,2004,Gasoline,2.0 L,Automatic,All Wheel Drive,"186,000 km",Car is not damaged,Left,Yes,Silver,R16,Halogen Headlights,Gray,Leather,No,"$7,500"
Nissan,Skyline,Sedan,2003,Gasoline,3.0 L,Automatic,Rear Wheel Drive,"167,000 km",Car is not damaged,Right,Yes,White,R17,LED Headlights,Gray,Leather,No,"$4,800"
Ford,Mustang,Coupe,2009,Gasoline,4.6 L,Manual,Rear Wheel Drive,"109,000 km",,Left,Yes,Orange,,,,,,"$22,000"
Chrysler,300C,Sedan,2006,Gasoline,6.1 L,Automatic,Rear Wheel Drive,"195,000 km",Car is not damaged,Left,Yes,Black,R22,Хenon Headlights,Red,Leather,Regular Sunroof,"$31,000"
Hyundai,Elantra,Sedan,2012,Gasoline,1.6 L,Manual,Front Wheel Drive,"84,250 km",Car is not damaged,Left,Yes,White,R16,Хenon Headlights,Black,Textile,No,"$9,500"
Honda,Accord,Sedan,2019,Gasoline,1.5 L,Automatic,Front Wheel Drive,"30,000 km",Car is not damaged,Left,Yes,White,R19,LED Headlights,Black,Leather,No,"$24,800"
Mazda,3,Sedan,2017,Gasoline,2.0 L,Automatic,Front Wheel Drive,"59,000 miles",Car is not damaged,Left,Yes,White,R16,LED Headlights,Black,Textile,No,"$12,900"
BMW,3 Series,Sedan,1993,Gasoline,1.8 L,Manual,Rear Wheel Drive,"150,000 km",Car is not damaged,Left,Yes,Black,R15,Halogen Headlights,Black,Textile,Regular Sunroof,"450,000 ֏"
Mercedes-Benz,GL-Class,SUV / Crossover,2008,Gasoline,4.7 L,Automatic,All Wheel Drive,"170,000 miles",Car is not damaged,Left,Yes,Black,R19,Halogen Headlights,Black,Leather,Panoramic Sunroof,"7,500,000 ֏"
Toyota,Camry,Sedan,2018,Gasoline,2.5 L,Automatic,Front Wheel Drive,"90,000 miles",Car is not damaged,Left,Yes,Silver,R17,Хenon Headlights,Black,Textile,No,"$19,500"
Toyota,Land Cruiser,Coupe,2008,Gasoline,4.7 L,Automatic,All Wheel Drive,"230,000 km",Car is not damaged,Left,Yes,White,R20,LED Headlights,Black,Leather,No,"$50,000"
Honda,Odyssey,Minivan,2021,Gasoline,3.5 L,Automatic,Front Wheel Drive,"10,000 km",Car is not damaged,Left,Yes,White,R19,LED Headlights,Beige,Leather,Regular Sunroof,"$38,000"
Nissan,March,Hatchback,2006,Gasoline,1.2 L,Automatic,Front Wheel Drive,"215,000 km",Car is not damaged,Right,Yes,White,R14,Halogen Headlights,Beige,Textile,No,"$3,100"
Mazda,6,Sedan,2017,Gasoline,2.5 L,Automatic,Front Wheel Drive,"40,000 km",Car is not damaged,Left,Yes,Black,R18,LED Headlights,Black,Leather,Regular Sunroof,"$16,800"
Mercedes-Benz,E-Class,Sedan,2003,Gasoline,3.2 L,Automatic,Rear Wheel Drive,"293,000 km",Car is not damaged,Left,Yes,Beige,R16,Хenon Headlights,Beige,Leather,Regular Sunroof,"$9,800"
Nissan,Teana,Sedan,2007,Gasoline,2.3 L,Automatic,Front Wheel Drive,"230,000 km",Car is not damaged,Left,Yes,White,R16,Хenon Headlights,Beige,Velour,No,"$8,500"
BMW,3 Series,Sedan,2014,Gasoline,3.0 L,Automatic,Rear Wheel Drive,"115,000 km",Car is not damaged,Left,No,Gray,R19,Хenon Headlights,Red,Leather,Regular Sunroof,"$17,000"
Lexus,ES,Sedan,2019,Gasoline,3.5 L,Automatic,Front Wheel Drive,"17,000 km",Car is not damaged,Left,No,Black,R19,LED Headlights,Black,Leather,Panoramic Sunroof,"$47,000"
Dodge,Durango,SUV / Crossover,2018,Gasoline,3.6 L,Automatic,All Wheel Drive,"81,000 km",Car is not damaged,Left,Yes,Brown,R20,Halogen Headlights,Black,Other,No,"$39,000"
VAZ (Lada),21099,Sedan,1999,Gasoline,1.5 L,Manual,Front Wheel Drive,"220,000 km",Car is not damaged,Left,Yes,White,R14,LED Headlights,Black,Textile,No,"$2,200"
Honda,Elysion,Minivan,2006,Gasoline,2.4 L,Automatic,Front Wheel Drive,"87,000 km",Car is not damaged,Right,Yes,White,R17,Хenon Headlights,Black,Alcantara,No,"$14,000"
Nissan,Sentra,Sedan,2020,Gasoline,2.0 L,Automatic,Front Wheel Drive,"15,000 km",Car is not damaged,Left,Yes,Gray,R18,LED Headlights,Black,Alcantara,No,"$18,000"
Mercedes-Benz,E-Class,Sedan,2007,Gasoline,3.5 L,Automatic,Rear Wheel Drive,"250,000 km",Car is not damaged,Left,Yes,Gray,R17,LED Headlights,Black,Leather,Regular Sunroof,"$10,700"
Ford,Focus,Hatchback,2011,Gasoline,2.0 L,Automatic,Front Wheel Drive,"109,000 miles",Car is not damaged,Left,Yes,White,R16,LED Headlights,Gray,Textile,No,"$8,700"
Cadillac,SRX,SUV / Crossover,2011,Gasoline,3.0 L,Automatic,All Wheel Drive,"220,000 km",Car is not damaged,Left,Yes,Black,R18,Halogen Headlights,Black,Leather,Panoramic Sunroof,"$12,500"
GAZ (ГАЗ),ГАЗель,Van,1995,Gasoline,2.0 L,Manual,Rear Wheel Drive,"1,000,000 km",Car is not damaged,Left,Yes,Red,R17,LED Headlights,Black,Leatherette,No,"700,000 ֏"
Jeep,Compass,SUV / Crossover,2019,Gasoline,2.4 L,Automatic,All Wheel Drive,"87,000 km",Car is not damaged,Left,Yes,Brown,R17,Halogen Headlights,Black,Leather,No,"$19,000"
Kia,Optima,Sedan,2019,Gasoline,2.5 L,Automatic,Front Wheel Drive,"52,000 miles",Car is not damaged,Left,Yes,Black,R16,Хenon Headlights,Black,Textile,No,"$17,600"
Kia,Forte,Sedan,2020,Gasoline,2.0 L,Automatic,Front Wheel Drive,"35,000 miles",Car is not damaged,Left,Yes,Blue,R16,Halogen Headlights,Black,Textile,No,"$15,000"
Opel,Astra,Hatchback,1999,Gasoline,1.6 L,Manual,Front Wheel Drive,"240,000 km",Car is not damaged,Left,Yes,Gray,R15,Halogen Headlights,Gray,Textile,No,"$4,500"
Ford,Courier,Van,2017,Diesel,1.5 L,Manual,Front Wheel Drive,"170,000 km",Car is not damaged,Left,Yes,White,R15,Halogen Headlights,Black,Textile,No,"6,500,000 ֏"
Smart,Forfour,Hatchback,2018,Gasoline,0.9 L,Automatic,Rear Wheel Drive,"42,000 km",Car is not damaged,Left,Yes,Red,R17,LED Headlights,Black,Textile,No,"$20,000"
Ford,Transit,Van,1998,Diesel,2.4 L,Manual,Rear Wheel Drive,"194,000 km",Car is not damaged,Left,Yes,Orange,R15,Halogen Headlights,Gray,Textile,No,"$5,200"
Mazda,CX-5,SUV / Crossover,2015,Gasoline,2.5 L,Automatic,All Wheel Drive,"110,000 miles",Car is not damaged,Left,Yes,White,R17,Halogen Headlights,Black,Textile,No,"$16,500"
Nissan,Rogue,SUV / Crossover,2018,Gasoline,2.5 L,Automatic,All Wheel Drive,"70,000 km",Car is not damaged,Left,Yes,Black,R17,Halogen Headlights,Black,Alcantara,No,"$17,500"
Mercedes-Benz,C-Class,Sedan,1998,Gasoline,1.8 L,Manual,Rear Wheel Drive,"460,000 km",Car is not damaged,Left,Yes,Blue,R15,Halogen Headlights,Black,Textile,No,"$5,700"
Mercedes-Benz,A-Class AMG,Hatchback,2013,Gasoline,2.0 L,Automatic,All Wheel Drive,"200,000 km",Car is damaged,Left,Yes,Gray,R16,Halogen Headlights,Black,Other,No,"$2,500"
Mercedes-Benz,C-Class,Sedan,2001,Gasoline,2.4 L,Automatic,Rear Wheel Drive,"240,000 km",Car is not damaged,Left,Yes,Silver,R15,LED Headlights,Gray,Leather,Panoramic Sunroof,"$5,700"
Mercedes-Benz,C-Class,Sedan,1996,Gasoline,1.8 L,Manual,Rear Wheel Drive,"244,000 km",Car is not damaged,Left,Yes,Blue,R16,LED Headlights,Blue,Textile,Regular Sunroof,"$5,300"
Toyota,Camry,Sedan,2013,Gasoline,2.5 L,Automatic,Front Wheel Drive,"160,000 km",Car is not damaged,Left,Yes,Gray,R17,LED Headlights,Black,Other,No,"$13,700"
Mazda,CX-9,SUV / Crossover,2022,Gasoline,2.5 L,Automatic,All Wheel Drive,663 miles,Car is not damaged,Left,Yes,Blue,R20,LED Headlights,Black,Leather,Regular Sunroof,"$52,900"
Chevrolet,Niva,SUV / Crossover,2007,Gasoline,1.8 L,Manual,All Wheel Drive,"170,000 km",Car is not damaged,Left,Yes,Blue,R16,Хenon Headlights,Black,Other,No,"$5,500"
Volkswagen,Touareg,SUV / Crossover,2004,Gasoline,4.2 L,Automatic,All Wheel Drive,"213,000 km",Car is not damaged,Left,Yes,Gray,R19,LED Headlights,Gray,Leather,Regular Sunroof,"$6,800"
VAZ (Lada),2114,Hatchback,2011,Gasoline,1.6 L,Manual,Front Wheel Drive,"150,000 km",Car is not damaged,Left,Yes,Black,R14,LED Headlights,Black,Other,No,"$4,300"
Mazda,CX-5,SUV / Crossover,2021,Gasoline,2.5 L,Automatic,All Wheel Drive,"22,000 miles",Car is not damaged,Left,Yes,Gray,R17,LED Headlights,Black,Leather,Regular Sunroof,"$36,000"
Nissan,Tiida,Sedan,2007,Gasoline,1.5 L,Automatic,Front Wheel Drive,"250,000 km",Car is not damaged,Right,Yes,Gray,R14,Хenon Headlights,Black,Textile,No,"$5,000"
Nissan,Rogue,SUV / Crossover,2019,Gasoline,2.5 L,Automatic,All Wheel Drive,"80,000 miles",Car is not damaged,Left,Yes,Green,R17,LED Headlights,Black,Textile,No,"$19,800"
Volkswagen,Jetta,Sedan,2016,Gasoline,1.4 L,Automatic,Front Wheel Drive,"95,000 km",Car is not damaged,Left,Yes,Black,R15,LED Headlights,Black,Textile,No,"$12,000"
Opel,Zafira,Minivan,2008,Gasoline,1.6 L,Manual,Front Wheel Drive,"230,000 km",Car is not damaged,Left,Yes,Black,R16,Halogen Headlights,Gray,Textile,No,"$7,300"
Toyota,Land Cruiser,SUV / Crossover,2004,Gasoline,4.7 L,Automatic,All Wheel Drive,"131,000 km",Car is not damaged,Left,Yes,Blue,R17,Halogen Headlights,Gray,Leather,Regular Sunroof,"$27,500"
BMW,5 Series,Sedan,2006,Gasoline,3.0 L,Automatic,All Wheel Drive,"207,000 km",Car is not damaged,Left,Yes,Black,R19,Хenon Headlights,Black,Leather,Regular Sunroof,"$8,800"
Mercedes-Benz,A-Class,Hatchback,2005,Gasoline,1.6 L,Automatic,Front Wheel Drive,"134,000 km",Car is not damaged,Right,No,Black,R15,Halogen Headlights,Black,Textile,No,"$4,700"
Mazda,6,Sedan,2015,Gasoline,2.5 L,Automatic,Front Wheel Drive,"100,000 miles",Car is not damaged,Left,Yes,Blue,R19,Хenon Headlights,Black,Leather,Regular Sunroof,"$12,500"
Mercedes-Benz,E-Class,Sedan,1997,Gasoline,3.2 L,Automatic,Rear Wheel Drive,"276,000 km",Car is not damaged,Left,Yes,Black,R16,Halogen Headlights,Gray,Leather,Panoramic Sunroof,"$6,500"
Mercedes-Benz,S-Class AMG,Sedan,2008,Gasoline,5.5 L,Automatic,All Wheel Drive,"168,000 km",Car is not damaged,Left,Yes,White,R19,Хenon Headlights,Brown,Leather,No,"$15,300"
BMW,X5,SUV / Crossover,2002,Gasoline,3.0 L,Automatic,All Wheel Drive,"270,000 miles",Car is not damaged,Left,Yes,Cyan,R18,Хenon Headlights,Gray,Leather,Regular Sunroof,"$9,600"
Ford,Mustang,Coupe,2003,Gasoline,3.8 L,Automatic,Rear Wheel Drive,"88,700 miles",Car is not damaged,Left,Yes,White,R20,LED Headlights,Brown,Leather,No,"$9,990"
Volkswagen,Jetta,Sedan,2006,Gasoline,2.5 L,Automatic,Front Wheel Drive,"210,000 km",Car is not damaged,Left,Yes,Silver,R16,Halogen Headlights,Black,Leather,Regular Sunroof,"$5,400"
Porsche,Cayenne,SUV / Crossover,2003,Gasoline,4.5 L,Automatic,All Wheel Drive,"250,000 km",Car is not damaged,Left,Yes,Black,R20,Хenon Headlights,Beige,Leather,Regular Sunroof,"$11,000"
Chevrolet,Volt,Hatchback,2013,Hybrid,1.4 L,Automatic,Front Wheel Drive,"230,000 km",Car is not damaged,Left,Yes,Black,R17,LED Headlights,Black,Textile,No,"$9,500"
Mitsubishi,Pajero IO,SUV / Crossover,2000,Gasoline,1.8 L,Automatic,Rear Wheel Drive,"144,000 km",Car is not damaged,Left,Yes,White,R16,Halogen Headlights,Blue,Textile,No,"$5,200"
Lexus,RX,SUV / Crossover,2005,Gasoline,3.3 L,Automatic,All Wheel Drive,"220,000 km",Car is not damaged,Left,Yes,White,R17,Хenon Headlights,Beige,Leather,No,"$13,500"
Volkswagen,Touareg,SUV / Crossover,2006,Gasoline,3.6 L,Automatic,All Wheel Drive,"85,000 km",Car is not damaged,Left,Yes,Black,R17,Halogen Headlights,Black,Leather,Regular Sunroof,"$20,000"
Toyota,Sienna,Minivan,2020,Gasoline,3.5 L,Automatic,Front Wheel Drive,"39,000 miles",Car is damaged,Left,Yes,Blue,R17,Halogen Headlights,Gray,Leather,Regular Sunroof,NaN
BMW,X5,SUV / Crossover,2019,Diesel,3.0 L,Automatic,All Wheel Drive,"74,000 km",Car is not damaged,Left,Yes,White,R20,Хenon Headlights,Black,Leather,Panoramic Sunroof,"$70,000"
Mercedes-Benz,GLK-Class,SUV / Crossover,2010,Gasoline,3.0 L,Automatic,All Wheel Drive,"125,000 km",Car is not damaged,Left,Yes,White,R19,Хenon Headlights,Black,Other,No,"6,200,000 ֏"
Toyota,RAV4,SUV / Crossover,2017,Hybrid,2.5 L,Automatic,All Wheel Drive,"58,000 miles",Car is not damaged,Left,Yes,White,R18,LED Headlights,Black,Leather,Regular Sunroof,"$29,000"
Nissan,March,Hatchback,2006,Gasoline,1.4 L,Automatic,All Wheel Drive,"258,000 km",Car is not damaged,Right,Yes,Silver,R14,Halogen Headlights,Beige,Textile,No,"$3,500"
Volkswagen,Golf,Hatchback,1993,Gasoline,1.8 L,Manual,Front Wheel Drive,"225,000 km",Car is not damaged,Left,Yes,Purple,R14,LED Headlights,Other,Other,Regular Sunroof,"850,000 ֏"
Opel,Astra,Sedan,1999,Gasoline,1.8 L,Manual,Front Wheel Drive,"270,000 km",Car is not damaged,Left,Yes,Silver,R15,Halogen Headlights,Blue,Other,No,"1,500,000 ֏"
Hyundai,Tucson,SUV / Crossover,2021,Gasoline,2.5 L,Automatic,All Wheel Drive,2300 miles,Car is not damaged,Left,Yes,Blue,R17,LED Headlights,Black,Textile,No,"$30,000"
ZAZ (ЗАЗ),Sens,Sedan,2008,Gasoline,1.3 L,Manual,Front Wheel Drive,"240,000 km",Car is not damaged,Left,Yes,Gray,R16,Хenon Headlights,Gray,Other,No,"380,000 ֏"
Mercedes-Benz,S-Class,Sedan,2006,Gasoline,5.5 L,Automatic,Rear Wheel Drive,"202,000 miles",Car is not damaged,Left,Yes,Black,R16,Хenon Headlights,Brown,Leather,Regular Sunroof,"$11,900"
Mercedes-Benz,S-Class,Sedan,1999,Gasoline,4.3 L,Automatic,Rear Wheel Drive,"251,000 km",Car is not damaged,Left,Yes,Blue,R16,LED Headlights,Black,Leather,Regular Sunroof,"$6,500"
Mercedes-Benz,E-Class,Sedan,2006,Gasoline,3.5 L,Automatic,All Wheel Drive,"217,000 km",Car is not damaged,Left,Yes,Silver,R16,Хenon Headlights,Black,Leather,Regular Sunroof,"$8,400"
Subaru,Legacy,Sedan,2007,Gasoline,2.0 L,Automatic,All Wheel Drive,"200,000 km",Car is not damaged,Right,Yes,White,R17,Хenon Headlights,Black,Textile,No,"$6,800"
Toyota,Camry,Sedan,2010,Gasoline,2.5 L,Automatic,Front Wheel Drive,"232,850 miles",Car is not damaged,Left,Yes,Black,R16,Halogen Headlights,Gray,Textile,No,"$10,800"
Toyota,Camry,Sedan,2022,Gasoline,3.5 L,Automatic,Front Wheel Drive,"24,000 km",Car is not damaged,Left,Yes,Black,R19,LED Headlights,Black,Leather,No,"$46,900"
Chevrolet,Volt,Hatchback,2011,Hybrid,1.4 L,Automatic,Front Wheel Drive,"87,000 km",Car is not damaged,Left,Yes,Black,R17,Halogen Headlights,Black,Textile,No,"$8,900"
Mercedes-Benz,GLS-Class,SUV / Crossover,2019,Gasoline,3.0 L,Automatic,All Wheel Drive,"13,000 miles",Car is not damaged,Left,Yes,Black,R19,LED Headlights,Other,Leather,Regular Sunroof,"$58,500"
Chevrolet,Volt,Hatchback,2012,Hybrid,1.4 L,Automatic,Front Wheel Drive,"120,000 miles",Car is not damaged,Left,Yes,White,R17,LED Headlights,Black,Textile,No,"$9,600"
Renault Samsung,SM7,Sedan,2017,Gasoline,2.3 L,Automatic,Front Wheel Drive,"106,000 km",Car is not damaged,Left,Yes,White,R18,LED Headlights,Black,Leather,No,"$14,700"
Toyota,Corolla,Sedan,2008,Gasoline,1.6 L,Automatic,Front Wheel Drive,"272,000 km",Car is not damaged,Left,Yes,White,R15,Halogen Headlights,Gray,Textile,No,"$8,900"
Honda,Civic,Sedan,2017,Gasoline,2.0 L,Automatic,Front Wheel Drive,"60,000 miles",Car is not damaged,Left,Yes,Silver,R16,LED Headlights,Black,Textile,Regular Sunroof,"$18,300"
VAZ (Lada),2106,Sedan,1996,Gasoline,1.5 L,Manual,Rear Wheel Drive,11 km,Car is not damaged,Left,Yes,Black,R13,LED Headlights,Black,Textile,No,"$3,500"
Mercedes-Benz,GLE-Class,SUV / Crossover,2018,Gasoline,3.5 L,Automatic,All Wheel Drive,"42,000 miles",Car is damaged,Left,Yes,Gray,R20,LED Headlights,Beige,Leather,Panoramic Sunroof,"$38,500"
Kia,K5,Sedan,2022,Gasoline,1.6 L,Automatic,Front Wheel Drive,"21,000 miles",Car is not damaged,Left,Yes,Gray,R18,LED Headlights,Black,Leatherette,No,"$32,900"
Kia,Optima,Sedan,2016,Gasoline,2.4 L,Automatic,Front Wheel Drive,"26,000 miles",Car is not damaged,Left,Yes,Black,R16,Halogen Headlights,Black,Textile,No,"$16,500"
Ford,Transit,Van,1999,Diesel,2.5 L,Manual,Rear Wheel Drive,"40,000 km",Car is not damaged,Left,Yes,White,R14,Halogen Headlights,Black,Textile,No,"$5,000"
VAZ (Lada),2121 Niva,SUV / Crossover,2020,Gasoline,1.7 L,Manual,All Wheel Drive,"20,000 km",Car is not damaged,Left,Yes,White,R17,LED Headlights,Black,Textile,No,"$12,000"
Lexus,RX,SUV / Crossover,2008,Gasoline,3.5 L,Automatic,Front Wheel Drive,"158,000 miles",,Left,Yes,White,R18,Halogen Headlights,Beige,Leather,Regular Sunroof,"$14,800"
Mazda,6,Sedan,2016,Gasoline,2.5 L,Automatic,Front Wheel Drive,"77,500 km",Car is not damaged,Left,Yes,White,R19,LED Headlights,Black,Leather,Regular Sunroof,"$21,400"
Mazda,CX-5,SUV / Crossover,2022,Gasoline,2.5 L,Automatic,All Wheel Drive,"13,200 km",Car is not damaged,Left,Yes,Gray,R17,LED Headlights,Black,Alcantara,No,"$33,500"
Opel,Astra,Hatchback,1998,Gasoline,1.8 L,Manual,Front Wheel Drive,"300,000 km",Car is not damaged,Left,Yes,Silver,R15,LED Headlights,Gray,Textile,No,"$4,500"
Land Rover,Range Rover Sport,SUV / Crossover,2008,Gasoline,4.4 L,Automatic,All Wheel Drive,"78,000 km",Car is not damaged,Left,Yes,Black,R19,Хenon Headlights,Beige,Leather,Regular Sunroof,"$17,500"
Ford,Fiesta,Sedan,1998,Gasoline,1.3 L,Manual,Front Wheel Drive,"200,000 km",Car is not damaged,Left,Yes,Blue,R13,Halogen Headlights,Gray,Other,No,"750,000 ֏"
Citroen,Berlingo,Van,2001,Diesel,2.0 L,Manual,Front Wheel Drive,"150,000 km",Car is not damaged,Left,Yes,Blue,R14,Halogen Headlights,Blue,Velour,No,"$3,300"
Nissan,Cefiro,Sedan,2005,Gasoline,2.3 L,Automatic,Front Wheel Drive,"353,000 km",Car is not damaged,Right,Yes,White,R16,Хenon Headlights,Beige,Leather,No,"$5,000"
VAZ (Lada),Priora,Sedan,2008,Gasoline,1.6 L,Manual,Front Wheel Drive,"145,000 km",Car is not damaged,Left,Yes,Black,R14,Halogen Headlights,Black,Textile,No,"$4,000"
Mercedes-Benz,C-Class,Sedan,2009,Gasoline,3.0 L,Automatic,Rear Wheel Drive,"218,000 km",Car is not damaged,Left,Yes,Black,R18,LED Headlights,Black,Leather,Regular Sunroof,"$11,500"
VAZ (Lada),Priora,Sedan,2012,Gasoline,1.6 L,Manual,Front Wheel Drive,"160,000 km",Car is not damaged,Left,Yes,Maroon,R14,Halogen Headlights,Gray,Textile,No,"$5,500"
BMW,5 Series,Sedan,2006,Gasoline,2.5 L,Automatic,Rear Wheel Drive,"190,000 miles",Car is not damaged,Left,Yes,Gray,R17,LED Headlights,Black,Leather,Regular Sunroof,"$9,300"
Toyota,C-HR,SUV / Crossover,2019,Gasoline,2.0 L,Automatic,Front Wheel Drive,"48,500 miles",Car is not damaged,Left,Yes,Black,R18,Хenon Headlights,Gray,Textile,No,"$18,500"
